name,count
work,39
class,25
team,16
one,15
us,15
reproducibility,14
group,13
groups,13
would,12
code,11
github,11
reproducible,11
another,8
important,8
working,8
collaboration,7
future,7
ipython,7
others,7
use,7
well,7
within,7
always,6
facebook,6
learned,6
notebook,6
together,6
tools,6
able,5
also,5
anyone,5
help,5
idea,5
know,5
like,5
science,5
taking,5
terms,5
think,5
times,5
although,4
chat,4
could,4
data,4
end,4
essential,4
even,4
going,4
interested,4
irc,4
level,4
many,4
meetings,4
order,4
part,4
people,4
problem,4
project,4
reproduce,4
specific,4
task,4
thing,4
thought,4
understand,4
used,4
week,4
certainly,3
comfortable,3
communicate,3
communication,3
continue,3
didn,3
efficient,3
email,3
emerge,3
everyone,3
extremely,3
field,3
find,3
harder,3
human,3
leaders,3
learning,3
life,3
luen,3
made,3
make,3
making,3
parts,3
process,3
projects,3
really,3
repos,3
set,3
since,3
something,3
steps,3
students,3
sure,3
things,3
throughout,3
trying,3
useful,3
way,3
worked,3
writing,3
analyzers,2
applying,2
behind,2
beyond,2
building,2
calender,2
caused,2
changed,2
chaos,2
clear,2
collaborate,2
colleagues,2
coming,2
company,2
competitive,2
contribute,2
course,2
create,2
creating,2
decided,2
different,2
document,2
documenting,2
done,2
due,2
earthquake,2
else,2
ensure,2
ensuring,2
expectations,2
far,2
finish,2
forward,2
general,2
get,2
go,2
goal,2
good,2
google,2
however,2
individuals,2
inherent,2
interaction,2
keeping,2
knew,2
language,2
less,2
link,2
machine,2
may,2
medium,2
meeting,2
members,2
methods,2
might,2
mindset,2
much,2
needed,2
none,2
notes,2
output,2
parameters,2
path,2
person,2
personal,2
place,2
presentation,2
presenter,2
produce,2
rather,2
readmes,2
related,2
relied,2
research,2
rest,2
run,2
see,2
semester,2
setting,2
shown,2
skills,2
someone,2
sometimes,2
structured,2
successful,2
take,2
taught,2
three,2
time,2
took,2
typically,2
using,2
utilized,2
various,2
view,2
virtual,2
wasn,2
whether,2
world,2
yes,2
ability,1
academia,1
access,1
account,1
accountable,1
acheive,1
achieve,1
active,1
activities,1
addition,1
administrative,1
advantage,1
aggressive,1
albeit,1
allowed,1
already,1
analyzed,1
anything,1
anywhere,1
applied,1
apply,1
approach,1
areas,1
aside,1
assignments,1
attributed,1
backload,1
bare,1
basic,1
beautiful,1
become,1
beforehand,1
believe,1
benchmarks,1
berkeley,1
bit,1
black,1
bonding,1
box,1
breaks,1
came,1
career,1
carrying,1
catalog,1
catch,1
checking,1
classes,1
classmates,1
coattails,1
coding,1
cohesive,1
collaborating,1
collaboratively,1
comments,1
compete,1
components,1
computers,1
computing,1
concept,1
conceptions,1
concepts,1
condition,1
confirmation,1
conflict,1
confront,1
confusion,1
considered,1
consisted,1
contain,1
containing,1
content,1
continual,1
continuing,1
control,1
conversation,1
cool,1
cooperative,1
core,1
courses,1
created,1
critical,1
cs,1
currently,1
d,1
date,1
deadline,1
deadlines,1
decipher,1
deemed,1
defective,1
defensible,1
defined,1
definitely,1
dependencies,1
describing,1
designed,1
despised,1
detailed,1
details,1
develop,1
difficulties,1
discussing,1
discussions,1
disposal,1
dreading,1
drew,1
dynamic,1
earlier,1
easier,1
easy,1
effective,1
effectively,1
effectiveness,1
effort,1
effortlessly,1
either,1
eliminate,1
eliminated,1
else’s,1
emailed,1
enjoyed,1
entails,1
entered,1
entire,1
environment,1
equally,1
especially,1
establish,1
every,1
evolved,1
example,1
exceed,1
except,1
exist,1
experience,1
experienced,1
experiment,1
experimentation,1
exponentially,1
extensively,1
ezcuj,1
fact,1
factor,1
faded,1
fail,1
fair,1
familiar,1
fb,1
fellow,1
fernando,1
final,1
findings,1
finely,1
focus,1
follow,1
force,1
forgotten,1
form,1
fruitful,1
functions,1
gathering,1
gave,1
generational,1
git,1
gmail,1
gsis,1
guideline,1
habit,1
handful,1
happening,1
hardships,1
haven,1
held,1
helped,1
highly,1
hindrance,1
hole,1
home,1
homework,1
hope,1
hours,1
https,1
huge,1
ideal,1
imply,1
importance,1
including,1
initial,1
initially,1
input,1
instead,1
instrumental,1
interconnected,1
internet,1
internships,1
introduced,1
invalid,1
involves,1
isnt,1
it’s,1
i’ve,1
kind,1
lag,1
last,1
later,1
leadership,1
let,1
limited,1
links,1
listing,1
loafers,1
looks,1
luen’s,1
machines,1
mainly,1
maintaining,1
majors,1
man,1
managing,1
manner,1
matter,1
maybe,1
mda,1
meaningful,1
meant,1
meet,1
mentioned,1
mentoring,1
messager,1
met,1
minimum,1
minute,1
model,1
models,1
moving,1
multiple,1
n,1
names,1
naturally,1
necessary,1
never,1
next,1
occurs,1
office,1
often,1
oneself,1
openscienceframework,1
operate,1
optimize,1
org,1
organizing,1
others’,1
outside,1
overall,1
overarching,1
painstaking,1
parallel,1
passive,1
pasting,1
per,1
perez,1
permeate,1
pick,1
picture”,1
play,1
posted,1
power,1
precedent,1
prepared,1
presentations,1
prevalence,1
prevents,1
primarily,1
prior,1
processes,1
processing,1
producing,1
product,1
professional,1
professor,1
promised,1
provide,1
providing,1
python,1
question,1
reach,1
real,1
realize,1
realized,1
recognize,1
recognized,1
regarding,1
regularly,1
relegated,1
repeated,1
replaced,1
represented,1
reproduced,1
required,1
resolution,1
resource,1
resources,1
results,1
riding,1
rstudio,1
saving,1
schedule,1
scheduled,1
scientific,1
scientifically,1
scientists,1
secondary,1
sense,1
several,1
share,1
sharing,1
show,1
showcase,1
showed,1
significantly,1
skype,1
smart,1
smooth,1
solely,1
specialized,1
spend,1
spirit,1
sql,1
stark,1
statistics,1
still,1
stopped,1
strengths,1
stress,1
subject,1
suggested,1
system,1
takeaways,1
taken,1
takes,1
takling,1
talk,1
talking,1
tasks,1
teach,1
teaching,1
technology,1
texting,1
thank,1
theory,1
though,1
thoughts,1
tiers,1
timelines,1
timestamp,1
topic,1
traditional,1
tried,1
try,1
tuned,1
twice,1
unable,1
updates,1
users,1
utilizing,1
variable,1
ve,1
version,1
views,1
virtualboxes,1
visualization,1
visualizations,1
vm,1
wait,1
ways,1
weeks,1
weight,1
weird,1
went,1
whole,1
wiki,1
wish,1
without,1
woman,1
workplace,1
worry,1
yield,1
“best”,1
“big,1
