name,count
work,39
class,25
team,16
one,15
us,15
reproducibility,14
group,13
groups,13
would,12
code,11
github,11
reproducible,11
another,8
important,8
working,8
collaboration,7
future,7
ipython,7
others,7
use,7
well,7
within,7
always,6
facebook,6
learned,6
notebook,6
together,6
tools,6
able,5
also,5
anyone,5
help,5
idea,5
know,5
like,5
science,5
taking,5
terms,5
think,5
times,5
although,4
chat,4
could,4
data,4
end,4
essential,4
even,4
going,4
interested,4
irc,4
level,4
many,4
meetings,4
order,4
part,4
people,4
problem,4
project,4
reproduce,4
specific,4
task,4
thing,4
thought,4
understand,4
used,4
week,4
certainly,3
comfortable,3
communicate,3
communication,3
continue,3
didn,3
efficient,3
email,3
emerge,3
everyone,3
extremely,3
field,3
find,3
harder,3
human,3
leaders,3
learning,3
life,3
luen,3
made,3
make,3
making,3
parts,3
process,3
projects,3
really,3
repos,3
set,3
since,3
something,3
steps,3
students,3
sure,3
things,3
throughout,3
trying,3
useful,3
way,3
worked,3
writing,3
analyzers,2
applying,2
behind,2
beyond,2
building,2
calender,2
caused,2
changed,2
chaos,2
clear,2
collaborate,2
colleagues,2
coming,2
company,2
competitive,2
contribute,2
course,2
create,2
creating,2
decided,2
different,2
document,2
documenting,2
done,2
due,2
earthquake,2
else,2
ensure,2
ensuring,2
expectations,2
far,2
finish,2
forward,2
general,2
get,2
go,2
goal,2
good,2
google,2
however,2
individuals,2
inherent,2
interaction,2
keeping,2
knew,2
language,2
less,2
link,2
machine,2
may,2
medium,2
meeting,2
members,2
methods,2
might,2
mindset,2
much,2
needed,2
none,2
notes,2
output,2
parameters,2
path,2
person,2
personal,2
place,2
presentation,2
presenter,2
produce,2
rather,2
readmes,2
related,2
relied,2
research,2
rest,2
run,2
see,2
semester,2
setting,2
shown,2
skills,2
someone,2
sometimes,2
structured,2
successful,2
take,2
taught,2
three,2
time,2
took,2
typically,2
using,2
utilized,2
various,2
view,2
virtual,2
wasn,2
whether,2
world,2
yes,2
